date,open,high,low,close,volume,outstanding_share,turnover
2010/1/4,21.83,21.87,21.16,21.19,66191336,7925886508,0.008351285
2010/1/5,21.41,21.58,20.79,21.35,115147944,7925886508,0.014528084
2010/1/6,21.29,21.3,20.88,20.93,96782575,7925886508,0.012210946
2010/1/7,20.88,21.04,20.3,20.46,85236072,7925886508,0.010754137
2010/1/8,20.34,20.8,20.3,20.69,65707648,7925886508,0.008290259
2010/1/11,21.6,21.8,20.57,20.69,116304816,7925886508,0.014674045
2010/1/12,20.63,20.97,20.26,20.8,82351139,7925886508,0.010390149
2010/1/13,20.25,20.35,19.8,19.83,146399680,7925886508,0.01847108
2010/1/14,19.87,20.02,19.64,19.97,77340768,7925886508,0.009757996
2010/1/15,20.02,20.25,19.72,20.04,69183664,7925886508,0.008728823
2010/1/18,19.91,20.29,19.87,20.24,69940216,7925886508,0.008824277
2010/1/19,20.25,20.59,20.21,20.35,69966136,7925886508,0.008827547
2010/1/20,20.42,20.53,19.6,19.79,80776512,7925886508,0.01019148
2010/1/21,19.88,20.57,19.76,20.47,93418184,7925886508,0.011786465
2010/1/22,20.2,21.1,20.01,20.9,154445984,7925886508,0.019486272
2010/1/25,20.56,20.98,20.42,20.46,80232728,7925886508,0.010122871
2010/1/26,20.49,20.9,20.17,20.69,91936560,7925886508,0.01159953
2010/1/27,20.67,20.8,19.78,19.86,94264360,7925886508,0.011893226
2010/1/28,19.78,19.85,19.38,19.7,58691704,7925886508,0.007405065
2010/1/29,19.6,20.04,19.48,19.62,53690104,7925886508,0.006774019
2010/2/1,19.62,19.62,19,19.22,51669420,7925886508,0.006519071
2010/2/2,19.33,19.7,19.17,19.24,48969592,7925886508,0.006178437
2010/2/3,19.31,19.93,19.01,19.89,76493072,7925886508,0.009651043
2010/2/4,19.61,19.89,19.6,19.66,46162100,7925886508,0.005824219
2010/2/5,19.2,19.68,19.16,19.42,43895952,7925886508,0.005538302
2010/2/8,19.45,19.5,19.08,19.22,37230984,7925886508,0.004697391
2010/2/9,19.2,19.49,19.17,19.42,26496190,7925886508,0.003342994
2010/2/10,19.59,19.75,19.5,19.68,30709496,7925886508,0.003874582
2010/2/11,19.69,19.8,19.59,19.64,27375492,7925886508,0.003453934
2010/2/12,19.73,19.88,19.66,19.81,29682512,7925886508,0.003745008
2010/2/22,19.73,19.86,19.58,19.68,33430728,7925886508,0.004217917
2010/2/23,19.65,19.65,19.25,19.49,30570948,7925886508,0.003857101
2010/2/24,19.35,19.68,19.24,19.66,38978360,7925886508,0.004917855
2010/2/25,19.75,20.8,19.75,20.74,194475968,7925886508,0.02453681
2010/3/11,21,21.8,20.9,21.3,230271760,7925886508,0.029053124
2010/3/12,21.32,21.52,21.02,21.04,74911752,7925886508,0.00945153
2010/3/15,21,21.15,20.58,20.68,58127320,7925886508,0.007333857
2010/3/16,20.63,21.2,20.51,21.19,56343016,7925886508,0.007108734
2010/3/17,21.23,21.75,20.95,21.67,90740416,7925886508,0.011448614
2010/3/18,21.66,22.21,21.55,21.7,88983824,7925886508,0.011226987
2010/3/19,21.82,22.04,21.5,21.8,44756708,7925886508,0.005646902
2010/3/22,21.85,22.35,21.85,22.21,96636040,7925886508,0.012192458
2010/3/23,22.25,22.43,21.89,22,62566260,7925886508,0.007893913
2010/3/24,22.05,22.39,22,22.03,51092920,7925886508,0.006446335
2010/3/25,21.96,21.96,21.46,21.61,52512296,7925886508,0.006625416
2010/3/26,21.52,22.51,21.52,22.26,82497768,7925886508,0.010408649
2010/3/29,22.45,23.12,22.31,22.98,139499328,7925886508,0.01760047
2010/3/31,23.07,23.09,22.7,22.78,54201364,7925886508,0.006838524
2010/4/1,22.77,23.12,22.65,22.85,58179152,7925886508,0.007340397
2010/4/2,22.86,23.1,22.8,22.91,40777536,7925886508,0.005144855
2010/4/6,23.05,23.38,22.91,22.99,53809592,7925886508,0.006789094
2010/4/7,23,23.08,22.54,22.78,50601632,7925886508,0.00638435
2010/4/8,22.5,22.97,22.5,22.58,46876304,7925886508,0.005914329
2010/4/9,22.6,23.02,22.59,22.94,38392740,7925886508,0.004843968
2010/4/12,23,23.05,22.21,22.43,57895624,7925886508,0.007304624
2010/4/13,22.4,23.12,22.25,23.03,84063856,7925886508,0.01060624
2010/4/14,23.12,23.12,22.76,22.88,38865504,7925886508,0.004903616
2010/4/15,22.96,22.98,22.49,22.77,42311792,7925886508,0.00533843
2010/4/16,22.67,22.68,22.02,22.06,54964768,7925886508,0.006934842
2010/4/19,21.69,21.69,20.49,20.56,123269960,7925886508,0.015552829
2010/4/20,20.55,20.7,20,20.54,63866292,7925886508,0.008057937
2010/4/21,20.46,20.89,20.29,20.86,55737608,7925886508,0.00703235
2010/4/22,20.69,20.69,20.08,20.19,69600680,7925886508,0.008781438
2010/4/23,20.2,20.85,19.95,20.39,83772880,7925886508,0.010569528
2010/4/26,20.42,20.79,20.22,20.46,46179484,7925886508,0.005826412
2010/4/27,20.26,20.36,19.78,20.11,57834284,7925886508,0.007296885
2010/4/29,20.25,20.6,20.16,20.19,54096308,7925886508,0.006825269
2010/4/30,20.3,20.63,20.16,20.59,52265740,7925886508,0.006594308
2010/5/4,20.22,20.57,19.9,20.19,46170464,7925886508,0.005825274
2010/5/5,19.95,20.35,19.67,20.31,54733840,7925886508,0.006905706
2010/5/6,20.1,20.1,19,19.04,74669512,7925886508,0.009420967
2010/5/7,18.66,19.08,18.45,18.55,61558280,7925886508,0.007766738
2010/5/10,18.72,19.15,18.5,18.98,45360000,7925886508,0.005723019
2010/5/11,19.44,19.52,18.5,18.75,59396296,7925886508,0.007493962
2010/5/12,18.47,19.24,18.43,19.19,81130496,7925886508,0.010236142
2010/5/13,19.1,19.96,19,19.71,78035576,7925886508,0.009845659
2010/5/14,19.51,19.64,19.23,19.4,38321248,7925886508,0.004834948
2010/5/17,19.17,19.17,18.6,18.66,43804792,7925886508,0.0055268
2010/5/18,18.73,19.5,18.72,19.35,62168560,7925886508,0.007843736
2010/5/19,19.16,19.67,19,19.26,40046628,7925886508,0.005052637
2010/5/20,19.1,19.45,18.79,18.91,38877428,7925886508,0.00490512
2010/5/21,18.48,19.3,18.4,19.23,40777828,7925886508,0.005144892
2010/5/24,19.38,20,19.38,19.74,61911240,7925886508,0.00781127
2010/5/25,19.6,19.66,18.99,19.14,52506336,7925886508,0.006624664
2010/5/26,19.21,19.38,18.94,19.11,25592460,7925886508,0.003228971
2010/5/27,19.08,19.32,18.8,19.31,31281232,7925886508,0.003946717
2010/5/28,19.52,19.6,19.03,19.13,32337600,7925886508,0.004079998
2010/5/31,18.9,19.11,18.5,18.54,51779892,7925886508,0.00653301
2010/6/1,18.47,18.73,18.3,18.42,41838832,7925886508,0.005278757
2010/6/2,18.38,18.48,18.07,18.4,31485388,7925886508,0.003972475
2010/6/3,18.49,18.6,18.16,18.2,41470016,7925886508,0.005232224
2010/6/4,18.13,18.28,18.05,18.17,28804636,7925886508,0.003634248
2010/6/7,17.9,18.05,17.59,17.64,47409888,7925886508,0.005981651
2010/6/8,17.69,17.81,17.18,17.4,40051744,7925886508,0.005053283
2010/6/9,17.49,18.54,17.17,18.5,93220920,7925886508,0.011761576
2010/6/10,13.7,14,13.66,13.7,52437768,7925886508,0.006616013
2010/6/11,13.77,14.17,13.71,13.82,63179328,10303652460,0.006131741
2010/6/17,13.91,14.13,13.77,13.85,47895736,10303652460,0.004648423
2010/6/18,13.86,14.2,13.78,13.9,65781892,10303652460,0.006384328
2010/6/21,14,14.64,13.85,14.48,98921552,10303652460,0.00960063
2010/6/22,14.42,14.67,14.36,14.49,43036536,10303652460,0.004176823
2010/6/23,14.4,14.53,14.09,14.25,39150500,10303652460,0.003799672
