,date,State
0,2010/1/4,0
1,2010/1/5,0
2,2010/1/6,0
3,2010/1/7,0
4,2010/1/8,0
5,2010/1/11,1
6,2010/1/12,0
7,2010/1/13,0
8,2010/1/14,0
9,2010/1/15,1
10,2010/1/18,0
11,2010/1/19,1
12,2010/1/20,1
13,2010/1/21,0
14,2010/1/22,1
15,2010/1/25,1
16,2010/1/26,0
17,2010/1/27,1
18,2010/1/28,0
19,2010/1/29,0
20,2010/2/1,1
21,2010/2/2,0
22,2010/2/3,0
23,2010/2/4,1
24,2010/2/5,0
25,2010/2/8,1
26,2010/2/9,0
27,2010/2/10,1
28,2010/2/11,1
29,2010/2/12,1
30,2010/2/22,0
31,2010/2/23,0
32,2010/2/24,0
33,2010/2/25,1
34,2010/3/11,1
35,2010/3/12,1
36,2010/3/15,0
37,2010/3/16,0
38,2010/3/17,1
39,2010/3/18,1
40,2010/3/19,1
41,2010/3/22,1
42,2010/3/23,1
43,2010/3/24,0
44,2010/3/25,0
45,2010/3/26,0
46,2010/3/29,1
47,2010/3/31,1
48,2010/4/1,0
49,2010/4/2,1
50,2010/4/6,1
51,2010/4/7,0
52,2010/4/8,0
53,2010/4/9,1
54,2010/4/12,1
55,2010/4/13,0
56,2010/4/14,1
57,2010/4/15,0
58,2010/4/16,0
59,2010/4/19,0
60,2010/4/20,0
61,2010/4/21,0
62,2010/4/22,1
63,2010/4/23,0
64,2010/4/26,1
65,2010/4/27,0
66,2010/4/29,0
67,2010/4/30,1
68,2010/5/4,0
69,2010/5/5,0
70,2010/5/6,1
71,2010/5/7,0
72,2010/5/10,1
73,2010/5/11,1
74,2010/5/12,0
75,2010/5/13,1
76,2010/5/14,1
77,2010/5/17,0
78,2010/5/18,0
79,2010/5/19,1
80,2010/5/20,0
81,2010/5/21,0
82,2010/5/24,1
83,2010/5/25,1
84,2010/5/26,0
85,2010/5/27,0
86,2010/5/28,1
87,2010/5/31,0
88,2010/6/1,0
89,2010/6/2,0
90,2010/6/3,1
91,2010/6/4,0
92,2010/6/7,0
93,2010/6/8,0
94,2010/6/9,0
95,2010/6/10,0
96,2010/6/11,1
97,2010/6/17,1
98,2010/6/18,0
99,2010/6/21,1
100,2010/6/22,1
101,2010/6/23,0
102,2010/6/24,0
103,2010/6/25,1
104,2010/6/28,1
105,2010/6/29,1
106,2010/6/30,0
107,2010/7/1,0
108,2010/7/2,0
109,2010/7/5,0
110,2010/7/6,1
111,2010/7/7,1
112,2010/7/8,1
113,2010/7/9,0
114,2010/7/12,1
115,2010/7/13,0
116,2010/7/14,1
117,2010/7/15,1
118,2010/7/16,0
119,2010/7/19,1
120,2010/7/20,1
121,2010/7/21,1
122,2010/7/22,0
123,2010/7/23,1
124,2010/7/26,1
125,2010/7/27,0
126,2010/7/28,0
127,2010/7/29,1
128,2010/7/30,0
129,2010/8/2,0
130,2010/8/3,1
131,2010/8/4,0
132,2010/8/5,0
133,2010/8/6,0
134,2010/8/9,1
135,2010/8/10,0
136,2010/8/11,0
137,2010/8/12,0
138,2010/8/13,0
139,2010/8/16,0
140,2010/8/17,1
141,2010/8/18,1
142,2010/8/19,0
143,2010/8/20,0
144,2010/8/23,0
145,2010/8/24,1
146,2010/8/25,0
147,2010/8/26,0
148,2010/8/27,0
149,2010/8/30,1
150,2010/8/31,0
151,2010/9/1,1
152,2010/9/2,1
153,2010/9/3,0
154,2010/9/6,0
155,2010/9/7,1
156,2010/9/8,0
157,2010/9/9,0
158,2010/9/10,0
159,2010/9/13,0
160,2010/9/14,1
161,2010/9/15,0
162,2010/9/16,0
163,2010/9/17,0
164,2010/9/21,0
165,2010/9/27,0
166,2010/9/28,0
167,2010/9/29,0
168,2010/9/30,1
